#separator:tab
#html:false
abound		exist in large numbers or amounts.	1) a business in which opportunities abound   2) errors and inconsistencies abound	proliferate, plentiful, copious, ample, brim, bristle, bulge, burst, bustle, buzz, crawl, hum,
conventional		1. based on or in accordance with what is generally done or believed.  2. (of a bid) intended to convey a particular meaning according to an agreed convention.	1) The number sign is the conventional symbol for labeling something measured in pounds.   2) Today, many patients seek healing through both alternative medicine and {phrase}conventional medicine{/phrase}. [=the usual methods of healing or treating disease that are taught in Western medical schools]	traditional, typical, prosaic current, customary, prevailing, standard
debunk		expose the falseness or hollowness of (an idea or belief).	1) debunk a legend	expose, belie, confound, confute, disconfirm, discredit, disprove, falsify, rebut,
diminutive		1. extremely or unusually small. 2. (of a word, name, or suffix) implying smallness, either actual or imputed to convey affection, scorn etc.	On the round table is a diminutive figure dressed in black.	petite, tiny, bantam, dinky, dwarfish, fine, half-pint, Lilliputian, little, pint-size,
discernible		able to be discerned; perceptible. discern = recognize or find out, distinguish, perceive, detect	There is little difference in the performance of male and female chefs discernable to the eye or palate.	noticeable, appreciable, apprehensible, detectable, distinguishable, perceptible, sensible,
enigmatic	A night of magic is mysterious and difficult to understand	difficult to interpret or understand; mysterious, concealed	My mother tried to explain, yet each time she did I found her explanations vague, cryptic, obscure, ambiguous, enigmatic and too fantastic to be believable.	arcane, cryptic, deep, impenetrable, inscrutable, mysterious, mystic, occult,
estranged		(of a person) no longer close or affectionate to someone; alienated.	He had taken out a life insurance policy on his estranged wife just weeks before her murder …	alienated, antagonistic, hostile, unfriendly, chilly, cold, cold-blooded, cool,
extravagant		lacking restraint in spending money or using resources.	1) extravagant claims	high-rolling, prodigal, profligate, spendthrift, squandering, thriftless, unthrifty, wasteful,
fanciful		1. over-imaginative and unrealistic.  2. highly ornamental or imaginative in design.	1) a fanciful person   2) a fanciful tale of a monster in the woods	whimsical, capricious, ornate, quixotic, eccentric, absurd, bizarre, crazy, fantastic, foolish, insane, nonsensical, preposterous,
frivolous	Free-willed children are flippant, making trivial tricks on others. But they’re giddy.	not having any serious purpose or value.	Some are serious, and some are frivolous - but all are entertaining. She spends all her allowance on frivolous purchases	glib, senseless, flippant, fiddling, foolish, incidental, inconsequential, inconsiderable, insignificant, little
heterogeneous		diverse in character or content.	1) an ethnically heterogeneous population	assorted, sundry, eclectic, indiscriminate, kitchen-sink, magpie, miscellaneous, mixed, motley,
imperious	From Latin imperium (command). The leader acted like an imperial, commanding others with a domineering sense of superiority.	assuming power or authority without justification; arrogant and domineering	The imperious CEO strode into the meeting room, demanding instant compliance with her every command.	authoritarian, autocratic, bossy, despotic, dictatorial, domineering, masterful,
impertinent		1. not showing proper respect; rude, impolite 2. not pertinent to a particular matter; irrelevant.	1) an impertinent answer 2) talk of “rhetoric” and “strategy” is impertinent to this process.	arch, audacious, bold, bold-faced, brash, brassbound, brassy, brazen,
invasive		(especially of plants or a disease) tending to spread prolifically and undesirably or harmfullytending to intrude (especially for privacy)	Patients are suffering from invasive cancer.	encroaching, trespassing, intrusive
irresolute		showing or feeling hesitancy; uncertain.	He stepped forward; but Boromir stood irresolute and did not follow.	halting, hesitant, indecisive, infirm, vacillating, wavering, characterless, effete,
laudable		(of an action, idea, or aim) deserving praise and commendation.	She has shown a laudable devotion to her children.	admirable, applaudable, commendable, creditable, estimable, meritorious, praiseworthy,
lax		1. not sufficiently strict, severe, or careful.  2. (of the limbs or muscles) relaxed.		slack, careless, derelict, disregardful, lazy, neglectful, neglecting, negligent, remiss,
marginalize		treat (a person, group, or concept) as insignificant or peripheral.	We are protesting policies that marginalize women.
panache	Sounds like pan-ash. The kids brought a pan of ash with flamboyant confidence.	flamboyant confidence of style or manner.	The model entertained the difficult audience with great panache.	flamboyance, confidence, self-assurance, style, stylishness, flair
plodding	The plot of the novel is slow-moving, with characters trudging through their tedious adventures, making every page feel like an unexciting journey.	slow-moving and unexciting.	The procession was, as usual, somber, slow, and insufferably plodding.	trudge, stomp, determined, dogged, patient, persevering, persistent, pertinacious, relentless
prosaic	Prose in a book seems dull and unimaginative compared to poetry.	having or using the style or diction of prose as opposed to poetry; lacking imaginativeness or originality.	The prosaic life of a hardworking farmer She believes the noises are made by ghosts, but I think there's a more prosaic explanation.	humdrum, mundane, plodding, average, common, commonplace, cut-and-dried, everyday, garden-variety, normal, ordinary,
remedial		giving or intended as a remedy or cure.	Officials have pledged remedial measures to repair damaged bridges.	amendatory, corrective, rectifying, reformative, reformatory, remedying,
restive	restless	(of a person) unable to remain still, silent, or submissive, especially because of boredom or dissatisfaction.	1) a restive audience   2) The audience grew/became restive.	restless, fidgety, balky, contrary, contumacious, defiant, disobedient, froward, incompliant, insubordinate,
sporadic		occurring at irregular intervals or only in a few places; scattered or isolated.	1) sporadic protests   2) a sporadic disease	aperiodic, casual, catchy, choppy, discontinuous, episodic, erratic, fitful,
stigmatize		describe or regard as worthy of disgrace or great disapproval.	1) Society stigmatizes welfare recipients.   2) a legal system that stigmatizes juveniles as criminals	condemn, denounce, disparage, brand, tag, baptize, call, christen, clepe, denominate, designate,
undermine		1. lessen the effectiveness, power, or ability of, especially gradually or insidiously.  2. erode the base or foundation of (a rock formation).	1) trying to undermine his political rivals	deteriorate, enervate, enfeeble, weaken, blemish, bloody, break, compromise,
utterly		completely and without qualification; absolutely.	Whatever this stuff is, it comprises as much as 90% of the mass of the universe. It is also utterly invisible.Cut off utterly from her past, but socially unacceptable in this new world, Irene chooses the same refuge that's worked for her as a child: poetry.	all, all of, all over, altogether, clean, completely, dead, enough,
weary		feeling or showing extreme tiredness, especially as a result of excessive exertion.		tired, worn out, exhausted, all in, aweary, beat, beaten, bleary, burned-out, bushed, dead,
zealous		having or showing zeal. zeal = passion, love, interest	1) zealous missionaries	enthusiastic, fervent, keen, ardent, fiery, passionate, dedicated, impassioned, earnest
admonish	Admins who are dishonest must be reprimanded	warn or reprimand someone firmly.	She admonished me for appearing at the breakfast unshaven	castigate, censure, lambast, berate, reprimand, chastice, chide, rebuke, reproach, reprove, tick off,
aesthetic		concerned with beauty or the appreciation of beauty.		decorative, ornamental, elegant, exquisite, attractive, beauteous, beautiful, bonny, comely, cute, drop-dead, fair,
